戦略,CAGR,最大DD,12m平均,12m最悪,12m>=7%,12mプラス,年別最悪,年別>=7%
【比較】市場平均,25.7,-20.8,25.9,-9.0,96.0,98.7,18.4,100.0
【比較】1306 TOPIX,21.7,-22.8,22.6,-14.9,80.0,96.2,19.6,100.0
【比較】1321 日経225,25.7,-25.0,29.1,-21.1,77.9,87.5,21.4,100.0
【比較】1478 高配当MSCI,24.4,-17.2,23.3,-6.5,89.4,99.4,20.2,100.0
【比較】1577 高配当70,30.9,-20.9,29.5,-4.8,88.9,99.0,25.2,100.0
現行ルール（配当のみ）,28.6,-20.2,27.2,-9.7,85.3,97.0,13.6,100.0
＋PBR割安 上位半分,29.7,-16.7,28.8,-8.6,88.4,96.8,16.3,100.0
＋PER割安 上位半分,26.5,-20.1,27.1,-15.5,78.5,95.2,12.7,100.0
＋ROE 上位半分,26.4,-20.6,29.9,-5.0,96.0,99.6,6.4,66.7
＋配当性向が低い 上位半分,24.4,-22.5,21.0,-18.4,77.3,86.9,16.8,100.0
＋自己資本比率 上位半分,23.8,-21.3,23.3,-2.8,92.8,99.6,19.1,100.0
