戦略,CAGR,最大DD,12m平均,12m最悪,12m>=7%,12mプラス,年別最悪,年別>=7%,前半CAGR,後半CAGR,年間売買
【比較】市場平均,17.6,-34.5,16.4,-25.2,68.5,81.7,-16.9,70.0,14.6,20.7,
【比較】1306 TOPIX,14.3,-32.7,13.9,-23.1,61.5,79.1,-15.8,80.0,10.6,18.0,
【比較】1321 日経225,16.6,-31.2,16.7,-22.7,65.8,76.9,-10.7,70.0,12.9,20.5,
【比較】1478 高配当MSCI,15.4,-34.9,15.3,-25.3,69.4,80.1,-19.5,80.0,7.5,23.9,
【比較】1577 高配当70,16.4,-37.4,15.9,-28.2,67.6,76.3,-15.6,80.0,6.6,27.0,
5銘柄,18.0,-31.9,20.2,-19.0,69.9,84.8,-3.5,77.8,8.5,25.8,19.666666666666668
8銘柄,16.1,-31.1,17.9,-16.8,63.0,84.6,-4.6,66.7,5.2,25.2,32.888888888888886
10銘柄,17.5,-31.5,19.4,-18.2,66.7,84.3,-7.5,77.8,7.4,25.8,41.333333333333336
15銘柄,17.2,-30.6,18.9,-15.5,63.2,81.5,-11.9,77.8,5.7,26.8,62.333333333333336
20銘柄,17.0,-31.9,19.1,-20.4,64.1,80.5,-10.7,66.7,3.9,28.2,84.88888888888889
25銘柄,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
