コード,株価,配当利回り,年間配当,増配率3年,減配月数5年,ボラティリティ,year1リターン,売買代金億円,損切り目安,トレンド線,銘柄名,セクター,業種,時価総額,PER実績,PER予想,PBR,ROE,純利益率,営業利益率,配当利回り会社,配当性向,DEレシオ,流動比率,売上成長,利益成長,FCF,現金,有利子負債,規模,除外理由
5976,1527.0,0.04649639816633923,71.0,0.3326385268847798,0.0,0.18925331473894683,0.34568493257148103,1.1,1298.0,1323.4,高周波熱錬,Basic Materials,金属製品,48927064064.0,38.355133,19.551283,0.85419816,0.03568,0.030380001,0.0461,4.69,1.7857001,17.384,3.079,0.17,3.404,,16282000384.0,11248000000.0,TOPIX Small 2,
3002,4165.0,0.051860744297719086,216.0,0.43237083856130987,0.0,0.19884126554001208,0.1655734047300319,6.7,3540.2,4097.8,グンゼ,Consumer Cyclical,繊維製品,130708463616.0,263.7571,9.0494795,1.2111334,0.042290002,0.03554,0.108009994,3.53,9.3038,17.669,2.181,-0.027,,,10924999680.0,19409999872.0,TOPIX Small 1,
4613,2882.5,0.03816131830008673,110.0,0.5420216697275806,0.0,0.2134365912703383,0.19996190633177457,24.7,2450.1,2545.3,関西ペイント,Basic Materials,化学,512881917952.0,19.46354,15.90834,1.7033404,0.09264,0.04916,0.06647,4.06,0.741,63.93,1.777,0.091,-0.239,,133927002112.0,243250003968.0,TOPIX Mid400,
5195,2500.0,0.048,120.0,0.32147606301246,0.0,0.24924597906165957,0.3815510847553185,1.4,2125.0,2165.9,バンドー化学,Industrials,ゴム製品,101244968960.0,9.737653,12.909561,1.0860095,0.12084,0.08715,0.092489995,4.01,0.38990003,5.247,2.0,0.107,0.063,4779250176.0,19064000512.0,4918000128.0,TOPIX Small 2,
2659,3365.0,0.03714710252600297,125.0,0.5005003335928089,0.0,0.1938844568047641,0.1934773796923901,5.3,2860.2,3101.8,サンエー,Consumer Cyclical,小売業,202652008448.0,19.446695,17.169136,1.3755828,0.07748,0.04241,0.07283,3.28,0.5791,,2.429,0.173,0.049,,53893001216.0,0.0,TOPIX Small 1,
5161,3750.0,0.0488,183.0,1.091576232093367,0.0,0.30051757785038163,0.2800704508089529,3.7,3187.5,3383.4,西川ゴム工業,Consumer Cyclical,ゴム製品,136318681088.0,12.803051,,1.5652645,0.13912,0.09276,0.07303,4.88,0.6229,27.999,2.278,0.04,0.414,,52033998848.0,25592999936.0,-,
3861,883.2,0.040760869001846466,36.0,0.3103706971044482,0.0,0.1920072029021181,0.1838634006620643,32.6,750.7,854.5,王子ホールディングス,Basic Materials,パルプ・紙,751232614400.0,14.480274,11.586117,0.69279814,0.060100004,0.03412,0.00829,4.08,0.5893,92.148,1.019,0.024,,,71362002944.0,1031947026432.0,TOPIX Mid400,
8125,1931.0,0.07767995857068877,150.0,0.5804080051174434,5.0,0.1674311071233431,0.16719078480134497,3.2,1641.3,1880.4,ワキタ,Industrials,卸売業,96473858048.0,27.797678,18.707811,0.9920295,0.03541,0.03575,0.07361,5.19,1.4333,1.482,1.755,0.065,-0.062,,11514999808.0,1466000000.0,TOPIX Small 1,
8572,486.5,0.045220966084275435,22.0,0.30059144685138706,0.0,0.2251356197188737,0.09364935362096727,6.3,413.5,481.7,アコム,Financial Services,その他金融業,763410907136.0,9.586858,10.635094,1.0665213,0.0935,0.18792,0.36029997,4.49,0.4328,95.427,3.837,0.077,-0.439,,48832999424.0,743171031040.0,TOPIX Mid400,
7241,1127.0,0.038154392191659274,43.0,0.42055831161147417,0.0,0.24424623400533027,0.27198354134994407,2.6,957.9,1022.3,フタバ産業,Consumer Cyclical,輸送用機器,100555227136.0,6.2803283,5.5061126,0.7221499,0.12662,0.023039998,0.02078,4.13,0.23979999,34.934,1.125,0.071,-0.052,,24547000320.0,51163000832.0,TOPIX Small 1,
1719,1921.0,0.041644976574700676,80.0,0.2599210498948732,0.0,0.21205277476298917,0.1806853685656611,12.4,1632.8,1895.5,安藤・間,Industrials,建設業,302156808192.0,10.155014,20.02079,1.4005113,0.15935001,0.06836,0.061750002,4.37,0.42180002,12.671,1.634,0.124,0.348,,64462999552.0,27477000192.0,TOPIX Mid400,
8609,1235.0,0.04048582995951417,50.0,0.35720880829745316,0.0,0.3147948157774465,0.9436652472859293,4.8,1049.8,904.9,岡三証券グループ,Financial Services,証券、商品先物取引業,247983882240.0,11.600601,,1.0519153,0.12672,0.26577,0.35582,3.19,0.3757,229.193,1.116,0.666,3.668,,1258296049664.0,538678001664.0,TOPIX Small 1,
6947,5140.0,0.038910505836575876,200.0,0.64414138288698,0.0,0.24087374272577586,0.01150536456920892,2.2,4369.0,4679.5,図研,Technology,電気機器,108750897152.0,20.371101,25.8,2.6484559,0.15009,0.13196999,0.13474,2.9,0.395,,2.221,0.282,0.943,,35330998272.0,0.0,TOPIX Small 1,
5351,2077.0,0.043331728454501686,90.0,0.3103706971044482,0.0,0.24477598964716357,0.14052367102524976,2.3,1765.5,2053.1,品川リフラ,Industrials,ガラス・土石製品,94825619456.0,3.636109,8.906986,0.86075985,0.27201,0.15582,0.03728,4.6,0.1575,42.276,1.916,0.218,1.661,,25489000448.0,50306998272.0,TOPIX Small 1,
1926,3835.0,0.03780964797913951,145.0,0.3345844358899781,0.0,0.23920898300131496,0.2290308665644165,5.6,3259.8,3784.9,ライト工業,Industrials,建設業,158053285888.0,13.348588,18.27069,1.8717078,0.15061,0.0928,0.112799995,1.39,0.50259995,2.119,2.451,-0.033,0.249,,26454999040.0,1808999936.0,TOPIX Small 1,
6309,2056.0,0.03501945525291829,72.0,0.46999192883298835,0.0,0.25410382202146103,0.3121535884814943,2.2,1747.6,1852.3,巴工業,Industrials,機械,60517027840.0,14.935442,5.407038,1.3810366,0.096,0.06926,0.1309,3.67,0.5225,,3.489,-0.044,0.291,3577999872.0,12174999552.0,0.0,TOPIX Small 2,
7240,3085.0,0.04213938411669368,130.0,0.20123329994304417,0.0,0.2312298711805438,0.31322053703806163,9.9,2622.2,2927.0,ＮＯＫ,Consumer Cyclical,輸送用機器,492260917248.0,10.882085,16.806768,0.77890503,0.08446,0.06644,0.04221,4.59,0.4564,9.712,2.186,0.055,0.623,,142463991808.0,66161999872.0,TOPIX Mid400,
5844,4989.0,0.03607937462417318,180.0,0.7261087479943642,0.0,0.3395368975573249,0.8192058717113839,48.8,4240.6,4124.1,京都フィナンシャルグループ,Financial Services,銀行業,1402253606912.0,14.698326,35.780014,1.0153117,0.07948,0.31151,0.52307,2.23,0.2361,,,0.24,0.584,,507461992448.0,501549989888.0,TOPIX Mid400,
1939,2252.0,0.034191829484902306,77.0,0.3691672113249258,0.0,0.2730899415037407,0.7125978355722127,1.7,1914.2,1858.4,四電工,Industrials,建設業,106692214784.0,14.228899,,1.5113713,0.124960005,0.08141,0.11686,3.85,0.48580003,7.127,2.749,0.189,0.862,,16915999744.0,5039000064.0,TOPIX Small 2,
6432,7620.0,0.04199475065616798,320.0,0.48356974338602976,0.0,0.38772188006781305,0.45110832503137277,20.5,6477.0,6987.1,竹内製作所,Industrials,機械,351528091648.0,12.435452,14.118476,1.8864374,0.16285999,0.12218001,0.17563999,2.88,0.3432,,5.819,0.122,0.002,,28440999936.0,0.0,TOPIX Small 1,
