戦略,CAGR,最大DD,12m平均,12m最悪,12m>=7%,12mプラス,年別最悪,年別>=7%,前半CAGR,後半CAGR,年間売買
【比較】市場平均,17.6,-34.5,16.4,-25.2,68.5,81.7,-16.9,70.0,14.6,20.7,
【比較】1306 TOPIX,14.3,-32.7,13.9,-23.1,61.5,79.1,-15.8,80.0,10.6,18.0,
【比較】1321 日経225,16.6,-31.2,16.7,-22.7,65.8,76.9,-10.7,70.0,12.9,20.5,
【比較】1478 高配当MSCI,15.4,-34.9,15.3,-25.3,69.4,80.1,-19.5,80.0,7.5,23.9,
【比較】1577 高配当70,16.4,-37.4,15.9,-28.2,67.6,76.3,-15.6,80.0,6.6,27.0,
往復コスト0.1%,17.9,-31.8,20.0,-20.2,66.8,82.8,-11.4,77.8,5.6,28.3,107.22222222222223
往復コスト0.3%,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
往復コスト0.5%,16.0,-32.5,18.0,-21.9,62.4,77.6,-12.6,66.7,3.7,26.4,107.22222222222223
往復コスト1.0%,13.7,-35.3,15.5,-24.0,57.4,69.9,-14.0,66.7,1.4,24.1,107.22222222222223
損切り-10%,17.0,-32.2,19.0,-21.1,64.5,80.2,-12.0,66.7,4.7,27.4,107.44444444444444
損切り-15%,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
損切り-20%,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
損切り-25%,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
15銘柄,17.2,-30.6,18.9,-15.5,63.2,81.5,-11.9,77.8,5.7,26.8,62.333333333333336
25銘柄,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
40銘柄,13.4,-36.3,15.0,-26.3,59.3,74.3,-12.0,66.7,0.6,24.3,175.33333333333334
利回り0%以上,14.6,-32.9,16.4,-22.8,60.1,74.8,-12.6,66.7,2.2,25.1,101.22222222222223
利回り2%以上,17.0,-32.2,19.0,-21.1,64.5,80.4,-12.0,77.8,4.7,27.4,107.22222222222223
利回り3%以上,13.4,-39.3,15.8,-27.7,61.9,72.9,-12.1,66.7,-1.8,26.6,106.55555555555556
