条件,全CAGR,前半CAGR,後半CAGR,最大DD,年別最悪,12m>=7%,年別>=7%,平均銘柄数
【比較】市場平均(全株等ウェイト),0.17604109442561833,0.1456486525981311,0.207274445257702,-0.34540009576781827,-0.16896024725534553,0.6852103120759837,0.7,
【比較】1306 TOPIX,0.14626343119042073,0.10645144525407946,0.18755392333712928,-0.910094410939462,-0.15837471950982196,0.6142017186793306,0.8,
【比較】1321 日経225,0.16632652007384308,0.12895429689490245,0.2049788959568164,-0.31156791616283774,-0.10707220825076547,0.6580732700135685,0.7,
【比較】1478 高配当MSCI,0.15380471403358342,0.07459037172348748,0.23895497625889384,-0.34924799835275855,-0.19543740354742223,0.6938037087290818,0.8,
【比較】1577 高配当70,0.1635559882592652,0.06571793356558242,0.27049833418379055,-0.3737284312065057,-0.1557471166147083,0.6757123473541384,0.8,
n50 利3% 業種3 制限なし 6ヶ月,0.15822902886706425,0.02686445669043991,0.2703673222580556,-0.30098406053828064,-0.09550325403211313,0.696875,0.7777777777777778,44.44444444444444
n25 利3% 業種3 上昇のみ 6ヶ月,0.15774001765635193,0.022323064346770893,0.27374608074644446,-0.29978434049449587,-0.10083841911126701,0.6520833333333333,0.7777777777777778,20.72222222222222
n25 利3% 業種2 上昇のみ 6ヶ月,0.15608481557285336,0.024248606842786957,0.2686948094963457,-0.29760420056376313,-0.09984299412461917,0.6604166666666667,0.7777777777777778,20.666666666666668
n25 利2% 業種3 制限なし 6ヶ月,0.15535705226631769,0.023741900814890693,0.26776488896691086,-0.29769634166199865,-0.09337553485262051,0.6796875,0.7777777777777778,22.22222222222222
n25 利2% 業種2 上昇のみ 6ヶ月,0.15513448768620242,0.028761652860311626,0.2625833698360325,-0.2905582233865176,-0.08737496048526971,0.6708333333333333,0.7777777777777778,22.22222222222222
n50 利2% 業種3 制限なし 6ヶ月,0.15260403805754996,0.03179301062260653,0.254860848271222,-0.2909047134107222,-0.10097970296765169,0.6817708333333333,0.7777777777777778,44.44444444444444
n25 利2% 業種3 上昇のみ 6ヶ月,0.1522054028906954,0.0275729064745025,0.25804570548667427,-0.29569682086798676,-0.08677881490942052,0.6479166666666667,0.7777777777777778,22.22222222222222
n25 利3% 業種3 制限なし 6ヶ月,0.150784975994382,0.013043681417437947,0.26910360412227696,-0.30715075891441623,-0.10777883973085911,0.6760416666666667,0.7777777777777778,22.22222222222222
n50 利3% 業種3 制限なし 12ヶ月,0.1506629044078307,0.013920350979703455,0.26802334591926225,-0.3011148296401355,-0.09550325403211313,0.6859375,0.7777777777777778,44.44444444444444
n25 利3% 業種2 制限なし 6ヶ月,0.14873141262534162,0.016906338881292227,0.2614124871410728,-0.3022984773228451,-0.10625678383567738,0.6729166666666667,0.7777777777777778,22.22222222222222
n50 利3% 業種2 制限なし 6ヶ月,0.14637470723597135,0.023398465329778073,0.2507163924326974,-0.2984590461019375,-0.09868970753573458,0.6859375,0.7777777777777778,44.44444444444444
n25 利3% 業種2 制限なし 12ヶ月,0.14482710562576684,0.01754148483935669,0.25324300438006797,-0.3022984773228451,-0.10625678383567738,0.66875,0.7777777777777778,22.22222222222222
n50 利2% 業種3 上昇のみ 6ヶ月,0.14444855350828445,0.03452010312918441,0.23669980681731229,-0.3014665737478731,-0.08600143914489433,0.653125,0.7777777777777778,43.27777777777778
n50 利2% 業種2 制限なし 6ヶ月,0.1441297016997518,0.024881431023864087,0.24500530081647542,-0.29421018696032164,-0.10032384868551414,0.6729166666666667,0.7777777777777778,44.44444444444444
n25 利2% 業種2 制限なし 6ヶ月,0.14383198870459046,0.01919269667432144,0.24976144584939952,-0.2883191450074434,-0.09905718708921707,0.6598958333333333,0.7777777777777778,22.22222222222222
n25 利3% 業種3 制限なし 12ヶ月,0.1435124747547376,0.007738604908681834,0.2600294389818465,-0.31912042186163714,-0.10777883973085911,0.6708333333333333,0.7777777777777778,22.22222222222222
n50 利2% 業種2 上昇のみ 6ヶ月,0.14276548027878921,0.039288779035005605,0.22913954905475742,-0.3008721064761146,-0.0830910770397073,0.6302083333333334,0.7777777777777778,43.05555555555556
n50 利3% 業種2 制限なし 12ヶ月,0.1420166044496738,0.013609401446612823,0.2515239389666952,-0.2990106232524379,-0.09868970753573458,0.684375,0.7777777777777778,44.44444444444444
n25 利2% 業種3 制限なし 12ヶ月,0.14167868794757932,0.022183546912829977,0.24280683837126404,-0.29769634166199854,-0.08706273334129444,0.6682291666666667,0.7777777777777778,22.22222222222222
n50 利3% 業種2 上昇のみ 6ヶ月,0.13987600803328792,0.012195942767746715,0.24871719058427666,-0.30764264936776853,-0.09984299412461917,0.6598958333333333,0.7777777777777778,35.77777777777778
n25 利3% 業種3 上昇のみ 12ヶ月,0.13874441714992436,0.016975982760285557,0.24202651266521702,-0.29978434049449587,-0.10074000009983297,0.6359375,0.7777777777777778,20.88888888888889
n50 利3% 業種3 上昇のみ 6ヶ月,0.1379671000382221,0.007820652638875991,0.2491702725719085,-0.30932390888117045,-0.1096751464813549,0.6552083333333333,0.7777777777777778,36.888888888888886
n50 利2% 業種2 制限なし 12ヶ月,0.13665513135241691,0.013902672859822385,0.24088095799340037,-0.2911406193939017,-0.10032384868551414,0.6671875,0.7777777777777778,44.44444444444444
n50 利2% 業種3 制限なし 12ヶ月,0.13657807958491808,0.012414708167009847,0.24213190114185146,-0.2909047134107222,-0.10097970296765169,0.6578125,0.7777777777777778,44.44444444444444
n25 利2% 業種2 制限なし 12ヶ月,0.1364551978724471,0.014326953548267962,0.24009680900355268,-0.2883191450074434,-0.08520842590581013,0.646875,0.7777777777777778,22.22222222222222
n50 利3% 業種3 上昇のみ 12ヶ月,0.13447919479271442,0.0015660785751212547,0.2483620134455773,-0.319742935174797,-0.10074000009983297,0.6348958333333333,0.7777777777777778,37.22222222222222
n50 利2% 業種3 上昇のみ 12ヶ月,0.12890147790985296,0.016042420075749186,0.22397500484981192,-0.30033688344140375,-0.08600143914489433,0.6260416666666667,0.7777777777777778,43.111111111111114
n50 利3% 業種2 上昇のみ 12ヶ月,0.12777333448070305,0.0028452603486797123,0.23413810672093405,-0.3267177802751966,-0.09984299412461917,0.6328125,0.6666666666666666,35.666666666666664
